customer_id,name,email,country,age,signup_date,marketing_opt_in,recency,frequency,monetary,R_score,F_score,M_score,RFM_score,customer_segment,avg_order_value
32,Christopher Mcmillan,henryvickie@example.net,MX,69,2020-11-27,True,894.0,1.0,75.05,2.0,1.0,2.0,212,High-value loyal customers,75.05
34,Matthew Watson,jose88@example.org,MX,28,2020-08-13,False,108.0,6.0,464.48,5.0,5.0,5.0,555,High-value loyal customers,77.41333333333334
35,Stephen Hall,mmartinez@example.net,PL,60,2025-08-17,True,135.0,3.0,253.84,5.0,4.0,3.0,543,New buyers,84.61333333333333
36,Maria Bailey,aimee78@example.net,US,24,2020-05-21,False,758.0,3.0,183.79,3.0,4.0,3.0,343,New buyers,61.26333333333334
37,Joel Norris,beth25@example.com,FR,59,2020-06-26,True,1097.0,2.0,239.33,2.0,2.0,3.0,223,At-risk customers,119.665
39,David Nguyen,eugene53@example.com,MX,26,2022-04-13,False,1000.0,3.0,358.38,2.0,4.0,4.0,244,At-risk customers,119.46
40,Monica Garcia,gonzalezedward@example.org,DE,64,2023-01-09,True,191.0,5.0,1025.31,5.0,5.0,5.0,555,High-value loyal customers,205.062
42,James Johnson,bdickerson@example.net,NL,25,2021-05-31,False,940.0,2.0,63.13,2.0,2.0,1.0,221,High-value loyal customers,31.565
43,William Phillips,thomascassandra@example.com,GB,42,2021-05-30,False,61.0,3.0,675.04,5.0,4.0,5.0,545,High-value loyal customers,225.0133333333333
45,Sherry May,erinmay@example.com,MX,33,2023-04-08,False,462.0,3.0,383.31,4.0,4.0,4.0,444,High-value loyal customers,127.77
46,David Haynes,zsanchez@example.net,GB,18,2024-01-05,True,32.0,2.0,72.24,5.0,2.0,1.0,521,New buyers,36.12
48,Mary Salas,kimberly67@example.org,ES,49,2020-04-01,True,266.0,2.0,441.99,4.0,2.0,5.0,425,New buyers,220.995
49,Joshua Martin,aprilgarcia@example.net,SE,49,2023-11-30,True,576.0,3.0,580.52,3.0,4.0,5.0,345,New buyers,193.50666666666663
50,Daniel Alvarez,fowlermaria@example.net,ES,29,2020-12-31,False,1673.0,1.0,186.6,1.0,1.0,3.0,113,At-risk customers,186.6
51,Patrick Bryant,philipfarmer@example.org,FR,25,2023-08-16,True,43.0,2.0,267.34,5.0,2.0,4.0,524,New buyers,133.67
52,Lisa Walsh,joshua60@example.org,DE,48,2022-04-06,True,835.0,2.0,108.4,3.0,2.0,2.0,322,High-value loyal customers,54.2
54,Teresa Rose,virginiayu@example.com,AE,54,2024-02-12,False,1249.0,2.0,180.43,2.0,2.0,3.0,223,At-risk customers,90.215
55,Carl Frank,taylorhart@example.org,US,45,2023-03-14,True,719.0,2.0,351.59,3.0,2.0,4.0,324,High-value loyal customers,175.795
56,Brianna Wade,smcdonald@example.net,NL,50,2022-01-14,False,659.0,3.0,220.52,3.0,4.0,3.0,343,New buyers,73.50666666666666
57,Penny Harrison,josephbennett@example.com,US,48,2021-10-21,True,804.0,1.0,97.38,3.0,1.0,2.0,312,High-value loyal customers,97.38
58,Miss Karen Trujillo,michael45@example.com,BR,26,2023-12-03,True,846.0,2.0,246.35,3.0,2.0,3.0,323,High-value loyal customers,123.175
59,Mr. Bradley Prince,sarahdickerson@example.org,AU,24,2023-11-08,True,1342.0,1.0,81.92,1.0,1.0,2.0,112,At-risk customers,81.92
60,Justin Nguyen,alyssareed@example.net,BR,22,2025-08-21,True,732.0,3.0,191.16,3.0,4.0,3.0,343,New buyers,63.72
61,Adam Lynn,john19@example.org,ES,29,2024-01-15,True,56.0,3.0,288.47,5.0,4.0,4.0,544,High-value loyal customers,96.15666666666664
62,Charlene Hayes,jasonpowell@example.net,IN,50,2025-05-03,False,1586.0,3.0,393.98,1.0,4.0,4.0,144,At-risk customers,131.32666666666668
63,Steven Franklin,barnettpatricia@example.net,ES,65,2025-06-22,True,573.0,1.0,239.32,3.0,1.0,3.0,313,High-value loyal customers,239.32
64,Christina Schwartz,harmonsamuel@example.org,GB,49,2025-07-07,False,761.0,1.0,32.27,3.0,1.0,1.0,311,High-value loyal customers,32.27
65,Deborah Young,thomasgrant@example.com,IN,27,2021-03-08,True,722.0,1.0,64.69,3.0,1.0,1.0,311,High-value loyal customers,64.69
66,Charles Henry,mmartin@example.net,AE,72,2022-09-27,False,1064.0,2.0,311.93,2.0,2.0,4.0,224,At-risk customers,155.965
68,Zachary Lowe,danafields@example.org,PL,75,2020-02-18,False,1531.0,2.0,196.32,1.0,2.0,3.0,123,At-risk customers,98.16
69,Angel Doyle,lindsey18@example.com,CA,20,2023-10-28,True,166.0,2.0,502.8,5.0,2.0,5.0,525,New buyers,251.4
70,Dr. Andrew Robbins,matthewhensley@example.com,BR,37,2021-03-12,False,993.0,3.0,132.72,2.0,4.0,2.0,242,At-risk customers,44.24
72,Samantha Carter,gpowell@example.com,US,41,2025-10-10,False,476.0,2.0,215.5,4.0,2.0,3.0,423,New buyers,107.75
73,Haley Harris,vconner@example.org,US,41,2021-12-25,True,821.0,2.0,367.86,3.0,2.0,4.0,324,High-value loyal customers,183.93
74,Edwin Willis,muellerbilly@example.net,IN,31,2024-03-08,False,329.0,5.0,429.62,4.0,5.0,4.0,454,High-value loyal customers,85.924
75,Jennifer Andrews,aevans@example.org,CA,48,2021-11-03,True,79.0,1.0,589.54,5.0,1.0,5.0,515,New buyers,589.54
76,Thomas Franklin,mccormickrenee@example.net,GB,66,2023-11-19,True,1095.0,3.0,306.15,2.0,4.0,4.0,244,At-risk customers,102.05
78,Carrie Alvarado,fishercraig@example.net,SE,67,2020-03-12,True,219.0,2.0,362.26,5.0,2.0,4.0,524,New buyers,181.13
79,Shane Taylor,anna44@example.org,US,69,2020-01-01,True,510.0,3.0,887.65,3.0,4.0,5.0,345,Price-sensitive users,295.8833333333333
80,Fernando Jordan,jimenezalexa@example.org,ES,53,2023-11-12,False,37.0,2.0,367.4500000000001,5.0,2.0,4.0,524,New buyers,183.725
81,Jennifer Dominguez,agriffin@example.net,GB,53,2021-03-03,True,482.0,5.0,334.92,4.0,5.0,4.0,454,High-value loyal customers,66.984
82,Kevin Pace,thomasgutierrez@example.org,US,26,2023-07-16,False,544.0,1.0,37.63,3.0,1.0,1.0,311,High-value loyal customers,37.63
85,Joanne Manning,diazjulie@example.net,BR,34,2023-11-06,False,1350.0,1.0,75.05,1.0,1.0,2.0,112,At-risk customers,75.05
86,Monica Miller,qmurray@example.org,CA,27,2025-08-17,False,1226.0,1.0,245.08,2.0,1.0,3.0,213,At-risk customers,245.08
91,Douglas Howell,molly02@example.net,BR,69,2023-03-16,False,73.0,5.0,727.71,5.0,5.0,5.0,555,High-value loyal customers,145.542
92,Lauren Bray,nicholascohen@example.net,PL,46,2024-05-12,True,63.0,4.0,344.28,5.0,5.0,4.0,554,High-value loyal customers,86.07
93,Cynthia Hayes,morrisjoseph@example.org,NL,61,2025-08-06,False,1589.0,2.0,126.78,1.0,2.0,2.0,122,At-risk customers,63.39
94,Rose Clay,robertsdonald@example.net,SG,30,2024-06-09,True,1533.0,1.0,407.08,1.0,1.0,4.0,114,At-risk customers,407.08
95,William Robles,freed@example.net,MX,54,2025-01-13,True,266.0,2.0,500.47,4.0,2.0,5.0,425,New buyers,250.235
97,Daniel Scott,connersteve@example.org,GB,70,2024-06-15,True,1158.0,2.0,278.23,2.0,2.0,4.0,224,At-risk customers,139.115
98,Heather Brown,qriley@example.net,AU,48,2020-06-26,True,1394.0,1.0,59.52,1.0,1.0,1.0,111,At-risk customers,59.52
99,Jonathan Harris,jameswhite@example.net,BR,18,2022-10-16,True,36.0,4.0,730.92,5.0,5.0,5.0,555,High-value loyal customers,182.73
100,Kenneth Howard,johnlivingston@example.com,IN,63,2022-11-22,False,609.0,4.0,297.38,3.0,5.0,4.0,354,New buyers,74.345
101,Brian Chen,moorecarla@example.com,ES,38,2021-07-14,False,235.0,4.0,601.5699999999999,4.0,5.0,5.0,455,High-value loyal customers,150.39249999999998
102,Lawrence Davis,veronicacline@example.com,SG,23,2021-12-24,False,326.0,4.0,404.15,4.0,5.0,4.0,454,High-value loyal customers,101.0375
103,Cindy Schaefer,ronald79@example.net,SE,43,2021-10-05,False,880.0,1.0,12.37,2.0,1.0,1.0,211,High-value loyal customers,12.37
104,Dawn Johnson,virginiagray@example.org,DE,63,2021-12-23,True,1165.0,2.0,145.17000000000002,2.0,2.0,2.0,222,At-risk customers,72.58500000000001
105,Justin Harrell,etucker@example.net,ES,41,2025-08-22,True,2111.0,1.0,324.03,1.0,1.0,4.0,114,At-risk customers,324.03
106,Tammy Mccarthy,scottanne@example.net,AU,74,2021-11-22,True,734.0,2.0,101.59,3.0,2.0,2.0,322,High-value loyal customers,50.795
107,Thomas Hunter,shanemoore@example.org,NL,74,2020-04-20,True,804.0,2.0,397.49,3.0,2.0,4.0,324,High-value loyal customers,198.745
108,Courtney Johnson MD,brian80@example.org,AU,48,2023-07-31,False,1106.0,2.0,453.75,2.0,2.0,5.0,225,At-risk customers,226.875
109,Jose Stevenson,jbrown@example.com,PL,40,2022-10-28,True,140.0,1.0,1290.44,5.0,1.0,5.0,515,New buyers,1290.44
110,Teresa Rhodes,brittany71@example.com,DE,69,2023-09-20,True,537.0,1.0,30.12,3.0,1.0,1.0,311,High-value loyal customers,30.12
112,Suzanne Mcclain,mlove@example.org,US,58,2023-02-22,False,1158.0,1.0,44.71,2.0,1.0,1.0,211,At-risk customers,44.71
113,Ross Miller,pamela27@example.org,AU,58,2024-09-05,True,211.0,1.0,50.89,5.0,1.0,1.0,511,New buyers,50.89
114,Janice Johnson,chavezmatthew@example.org,SG,30,2025-01-13,True,1206.0,1.0,202.8,2.0,1.0,3.0,213,At-risk customers,202.8
117,Ryan Cook,jorgerodriguez@example.com,US,75,2025-01-03,True,31.0,5.0,1355.84,5.0,5.0,5.0,555,High-value loyal customers,271.168
118,Ashley Irwin,welchkristin@example.org,FR,53,2024-07-19,True,227.0,3.0,266.13,4.0,4.0,4.0,444,High-value loyal customers,88.71
120,Dr. Anne Roberts DVM,colliertiffany@example.org,US,32,2022-02-12,True,1267.0,2.0,193.42,2.0,2.0,3.0,223,At-risk customers,96.71
121,Alexis Roman,william70@example.net,US,25,2022-01-04,True,538.0,2.0,160.79000000000002,3.0,2.0,3.0,323,High-value loyal customers,80.39500000000001
123,Christopher Townsend,jamesmiller@example.org,NL,38,2020-08-15,True,278.0,2.0,160.86,4.0,2.0,3.0,423,New buyers,80.43
124,Monica Juarez,jamiesalazar@example.net,MX,39,2024-01-27,True,1169.0,2.0,216.86,2.0,2.0,3.0,223,At-risk customers,108.43
127,Phillip Anderson,john95@example.org,DE,49,2022-10-18,True,530.0,2.0,419.14,3.0,2.0,4.0,324,High-value loyal customers,209.57
128,Jacob Larson,kellysarah@example.net,JP,53,2025-02-23,False,1515.0,3.0,202.05,1.0,4.0,3.0,143,At-risk customers,67.35000000000001
129,Howard Sanchez,kimberly69@example.org,BR,45,2021-04-23,True,388.0,2.0,359.8,4.0,2.0,4.0,424,New buyers,179.9
130,Brian Simon,hpalmer@example.net,CA,69,2020-02-21,True,260.0,2.0,122.73,4.0,2.0,2.0,422,New buyers,61.365
133,Kelly Park,bellclifford@example.org,US,60,2025-04-17,True,1267.0,1.0,90.99,2.0,1.0,2.0,212,At-risk customers,90.99
134,Bryce Snyder,daniel16@example.org,US,30,2023-09-14,False,174.0,1.0,243.78,5.0,1.0,3.0,513,New buyers,243.78
135,Crystal Perez,kfrancis@example.org,US,58,2021-11-01,True,1307.0,1.0,7.82,2.0,1.0,1.0,211,At-risk customers,7.82
138,Sarah Brown,susanmichael@example.org,GB,58,2024-05-12,False,735.0,1.0,15.86,3.0,1.0,1.0,311,High-value loyal customers,15.86
140,Michael Perez,xbooker@example.com,SG,75,2022-08-24,True,1772.0,1.0,215.51,1.0,1.0,3.0,113,At-risk customers,215.51
141,Rhonda Wilkerson,johnsondarlene@example.com,US,47,2021-05-03,False,165.0,5.0,573.52,5.0,5.0,5.0,555,High-value loyal customers,114.704
142,Loretta Fuller,howelljohn@example.net,JP,68,2025-10-17,False,1064.0,2.0,405.84,2.0,2.0,4.0,224,At-risk customers,202.92
143,David Williams,torresdeborah@example.org,DE,64,2023-05-16,True,15.0,3.0,409.48,5.0,4.0,4.0,544,High-value loyal customers,136.4933333333333
144,Tyler Mccall,christopher98@example.org,DE,36,2025-03-07,True,327.0,2.0,160.97,4.0,2.0,3.0,423,New buyers,80.485
146,Natalie Mitchell,kbishop@example.org,ES,30,2022-01-31,True,1348.0,3.0,268.29,1.0,4.0,4.0,144,At-risk customers,89.42999999999999
147,Christina Page,tsnow@example.net,IN,73,2024-04-23,True,513.0,3.0,681.71,3.0,4.0,5.0,345,Price-sensitive users,227.23666666666668
148,Robert Johnson,jeffrey88@example.com,NL,67,2024-01-20,True,14.0,1.0,224.01,5.0,1.0,3.0,513,New buyers,224.01
149,Jennifer Glass,michelleallen@example.net,US,42,2025-08-09,True,1283.0,1.0,140.18,2.0,1.0,2.0,212,At-risk customers,140.18
150,Devin Johns,kennethbarton@example.org,GB,60,2020-07-26,True,1845.0,1.0,171.96,1.0,1.0,3.0,113,At-risk customers,171.96
151,Lisa Bailey,blackmary@example.com,DE,48,2023-10-28,False,1374.0,1.0,90.75,1.0,1.0,2.0,112,At-risk customers,90.75
152,Ashley Perez,robertbarnett@example.org,ZA,41,2023-07-23,True,1003.0,3.0,171.37,2.0,4.0,3.0,243,At-risk customers,57.123333333333335
154,Mark Chen,robertgarcia@example.com,AU,35,2020-09-29,True,373.0,3.0,145.82999999999998,4.0,4.0,2.0,442,Price-sensitive users,48.60999999999999
155,Laurie Jimenez,robertbowers@example.net,US,47,2024-09-28,False,1815.0,1.0,39.06,1.0,1.0,1.0,111,At-risk customers,39.06
156,Jamie Chavez,wroberts@example.com,GB,22,2020-04-19,False,498.0,1.0,30.56,3.0,1.0,1.0,311,High-value loyal customers,30.56
157,Joseph Larson,adam76@example.com,ZA,45,2025-08-14,True,2088.0,1.0,325.46,1.0,1.0,4.0,114,At-risk customers,325.46
158,Joshua Pratt,ljohnston@example.org,FR,24,2021-03-25,False,35.0,1.0,50.38,5.0,1.0,1.0,511,New buyers,50.38
160,Tina Johnson,annette74@example.net,US,22,2024-07-04,True,164.0,3.0,133.99,5.0,4.0,2.0,542,Price-sensitive users,44.66333333333333
161,Kimberly Murillo,wprice@example.org,AU,44,2024-07-10,True,1039.0,2.0,862.8399999999999,2.0,2.0,5.0,225,Price-sensitive users,431.42
162,Heather Gould,foxcorey@example.com,FR,69,2021-06-23,True,949.0,3.0,236.25,2.0,4.0,3.0,243,At-risk customers,78.75
163,Mariah Hebert,nicholeoconnell@example.com,DE,75,2022-11-16,True,94.0,2.0,379.42,5.0,2.0,4.0,524,New buyers,189.71
164,Randall Nolan,heather12@example.com,US,34,2024-09-10,False,912.0,2.0,190.9,2.0,2.0,3.0,223,High-value loyal customers,95.45
165,William Mckenzie,danielkline@example.net,ES,29,2023-04-16,False,627.0,3.0,293.82,3.0,4.0,4.0,344,New buyers,97.94
166,Timothy Hicks,hwelch@example.com,AE,43,2022-06-15,False,1244.0,2.0,293.42,2.0,2.0,4.0,224,At-risk customers,146.70999999999998
167,Christine Barry,owhite@example.net,AE,49,2021-02-06,True,950.0,1.0,237.34,2.0,1.0,3.0,213,High-value loyal customers,237.34
169,Michael Smith,raymond19@example.org,ES,62,2024-05-12,True,635.0,2.0,180.9,3.0,2.0,3.0,323,High-value loyal customers,90.45
171,Jennifer Martinez,aprilhicks@example.org,IN,60,2022-11-27,True,103.0,3.0,115.21,5.0,4.0,2.0,542,Price-sensitive users,38.403333333333336
172,Christopher Mills,zaustin@example.org,MX,54,2020-01-01,True,465.0,2.0,544.05,4.0,2.0,5.0,425,New buyers,272.025
173,Melinda Riley,jennifergomez@example.org,AU,75,2022-03-01,True,1239.0,4.0,572.79,2.0,5.0,5.0,255,At-risk customers,143.1975
174,Mark Villarreal,baileyshannon@example.com,CA,38,2022-10-13,False,452.0,3.0,522.14,4.0,4.0,5.0,445,High-value loyal customers,174.04666666666665
175,Daniel Foster,gonzaleschristine@example.org,JP,37,2022-04-06,True,368.0,5.0,441.37,4.0,5.0,5.0,455,High-value loyal customers,88.274
176,Christopher Matthews,leroynolan@example.com,FR,36,2023-01-01,True,206.0,1.0,67.32,5.0,1.0,1.0,511,New buyers,67.32
177,Lance Choi,epetty@example.org,US,61,2021-12-06,True,1846.0,2.0,149.46,1.0,2.0,2.0,122,At-risk customers,74.73
178,Megan Richards,tparker@example.com,ZA,54,2025-05-29,False,91.0,1.0,56.09,5.0,1.0,1.0,511,New buyers,56.09
179,Sean Miller,michaellopez@example.com,BR,59,2022-01-29,False,1035.0,1.0,69.45,2.0,1.0,1.0,211,At-risk customers,69.45
180,Jack Rogers,progers@example.org,AE,70,2021-06-16,True,1940.0,1.0,249.08,1.0,1.0,3.0,113,At-risk customers,249.08
181,Jennifer Durham,paulowens@example.com,IN,42,2024-04-16,True,950.0,3.0,653.41,2.0,4.0,5.0,245,At-risk customers,217.8033333333333
182,Andrew Beck,linda32@example.org,US,52,2022-08-12,False,898.0,1.0,139.43,2.0,1.0,2.0,212,High-value loyal customers,139.43
183,Joshua Cobb,ymcdonald@example.org,BR,40,2025-09-15,False,615.0,2.0,181.15,3.0,2.0,3.0,323,High-value loyal customers,90.575
184,Harry Sharp,lsoto@example.org,BR,74,2021-06-20,False,110.0,1.0,247.08,5.0,1.0,3.0,513,New buyers,247.08
185,John Harris,tleonard@example.com,SE,21,2025-10-04,False,336.0,3.0,575.53,4.0,4.0,5.0,445,High-value loyal customers,191.84333333333333
186,Jessica Branch,richarddixon@example.org,SG,39,2024-08-28,True,247.0,2.0,201.48,4.0,2.0,3.0,423,New buyers,100.74
187,Barbara Palmer,jill60@example.net,BR,73,2023-12-05,False,279.0,4.0,203.45,4.0,5.0,3.0,453,New buyers,50.8625
188,Brianna Smith,nealkimberly@example.org,DE,22,2022-11-23,True,589.0,4.0,466.2000000000001,3.0,5.0,5.0,355,New buyers,116.55
189,Matthew Rodriguez,linda43@example.org,MX,75,2022-10-13,False,763.0,2.0,371.33,3.0,2.0,4.0,324,High-value loyal customers,185.665
190,Anita Roberts,zcampbell@example.com,DE,57,2021-12-06,True,1180.0,1.0,109.31,2.0,1.0,2.0,212,At-risk customers,109.31
191,Sonya Callahan,sharonthompson@example.com,CA,47,2020-06-12,False,1723.0,1.0,30.64,1.0,1.0,1.0,111,At-risk customers,30.64
192,Mary Bell,tjohnson@example.net,BR,42,2022-08-24,True,1692.0,1.0,106.4,1.0,1.0,2.0,112,At-risk customers,106.4
193,Zachary Morales,whitedarius@example.net,MX,54,2025-05-18,True,377.0,2.0,180.55,4.0,2.0,3.0,423,New buyers,90.275
194,Michelle Williams,franklinryan@example.com,AE,37,2022-12-07,False,1958.0,1.0,46.87,1.0,1.0,1.0,111,At-risk customers,46.87
196,Dawn Graham,shari14@example.org,US,46,2024-05-30,True,1171.0,2.0,444.5,2.0,2.0,5.0,225,At-risk customers,222.25
197,Lauren Dominguez,erinjohnson@example.com,CA,31,2025-08-29,True,1332.0,2.0,118.83,2.0,2.0,2.0,222,At-risk customers,59.415000000000006
198,Thomas Brady,butlerjulie@example.net,JP,60,2023-02-02,False,415.0,1.0,877.96,4.0,1.0,5.0,415,New buyers,877.96
199,Connie Rose,stacey67@example.com,IN,54,2021-01-22,True,1845.0,1.0,178.72,1.0,1.0,3.0,113,At-risk customers,178.72
200,Nancy Greer,rromero@example.net,SE,19,2025-01-09,False,885.0,2.0,104.17,2.0,2.0,2.0,222,High-value loyal customers,52.085
201,Michael Bradford,tracylopez@example.net,SG,29,2023-08-26,True,1742.0,1.0,138.19,1.0,1.0,2.0,112,At-risk customers,138.19
202,Kristin Thompson,tarawalsh@example.net,BR,40,2024-05-19,True,991.0,1.0,445.93,2.0,1.0,5.0,215,At-risk customers,445.93
203,Victor Jackson,robert34@example.org,BR,32,2025-02-18,True,1398.0,1.0,47.62,1.0,1.0,1.0,111,At-risk customers,47.62
204,Michael Santiago,janicesmith@example.net,US,58,2023-09-08,False,133.0,1.0,123.35,5.0,1.0,2.0,512,New buyers,123.35
205,Timothy Bell,dennis29@example.net,CA,37,2023-07-18,False,119.0,3.0,266.91,5.0,4.0,4.0,544,High-value loyal customers,88.96999999999998
206,Mark Wilson,khodges@example.net,AE,29,2024-05-20,True,854.0,2.0,275.33,2.0,2.0,4.0,224,High-value loyal customers,137.665
207,Linda Murray,hguerra@example.net,US,73,2024-04-03,True,1740.0,2.0,335.36,1.0,2.0,4.0,124,At-risk customers,167.68
208,Isaac Clark,huangkevin@example.org,SG,53,2023-03-20,False,476.0,4.0,244.21,4.0,5.0,3.0,453,New buyers,61.0525
209,Jo Rodriguez,sean95@example.com,CA,59,2021-05-24,False,557.0,2.0,514.09,3.0,2.0,5.0,325,New buyers,257.045
210,Benjamin Smith,tmiller@example.com,MX,41,2020-12-16,True,1464.0,2.0,494.76,1.0,2.0,5.0,125,At-risk customers,247.38
211,Ms. Ashley Burns,yfreeman@example.net,CA,19,2020-06-21,False,454.0,2.0,150.69,4.0,2.0,2.0,422,New buyers,75.345
212,Ian Davis,courtney43@example.org,NL,27,2021-10-30,False,1108.0,1.0,76.07,2.0,1.0,2.0,212,At-risk customers,76.07
214,Stephanie Fleming,muellermaria@example.net,US,62,2023-08-09,True,79.0,3.0,366.75,5.0,4.0,4.0,544,High-value loyal customers,122.25
215,Jamie Holland,luke52@example.net,GB,31,2022-05-07,True,1026.0,1.0,147.06,2.0,1.0,2.0,212,At-risk customers,147.06
216,Sara King,williamsashley@example.net,US,67,2023-12-25,True,269.0,2.0,461.91,4.0,2.0,5.0,425,New buyers,230.955
218,Whitney Morrison,thomasjeremy@example.org,NL,32,2022-01-06,True,361.0,2.0,307.51,4.0,2.0,4.0,424,New buyers,153.755
219,Wayne Davis,jeffersontimothy@example.org,GB,29,2021-06-29,False,1207.0,1.0,56.86,2.0,1.0,1.0,211,At-risk customers,56.86
221,Michael Macdonald,gonzaleselizabeth@example.org,IN,63,2023-12-07,True,1457.0,1.0,44.27,1.0,1.0,1.0,111,At-risk customers,44.27
222,Carly Phillips,rbrock@example.com,JP,21,2023-08-11,True,33.0,2.0,108.74,5.0,2.0,2.0,522,New buyers,54.37
223,Julie Daniels,ipatterson@example.net,FR,23,2020-01-06,False,1838.0,3.0,205.22,1.0,4.0,3.0,143,At-risk customers,68.40666666666667
224,Valerie Nixon,shepherdbrian@example.net,IN,27,2024-10-03,True,37.0,1.0,100.07,5.0,1.0,2.0,512,New buyers,100.07
225,Matthew Cunningham,ecisneros@example.net,AU,52,2021-06-17,True,369.0,2.0,84.63,4.0,2.0,2.0,422,New buyers,42.315
226,Elizabeth Cooper,charlesjeffrey@example.net,SG,32,2022-01-31,True,58.0,2.0,190.83,5.0,2.0,3.0,523,New buyers,95.415
227,Bradley Guerrero,angela65@example.net,DE,45,2023-06-28,True,2018.0,1.0,82.47,1.0,1.0,2.0,112,At-risk customers,82.47
228,Jeremy Green,henrywu@example.net,AU,46,2021-05-18,True,214.0,2.0,180.84,5.0,2.0,3.0,523,New buyers,90.42
229,Connie Hood,lopezellen@example.net,PL,25,2021-08-23,True,758.0,1.0,116.54,3.0,1.0,2.0,312,High-value loyal customers,116.54
231,Jason Jones,gtaylor@example.net,ES,35,2025-01-13,True,1933.0,1.0,54.03,1.0,1.0,1.0,111,At-risk customers,54.03
233,Tyler Hart,taylorkimberly@example.org,GB,40,2021-06-09,False,1321.0,1.0,199.88,2.0,1.0,3.0,213,At-risk customers,199.88
234,Anthony Williams,stevemartinez@example.org,FR,40,2020-08-04,False,185.0,1.0,7.26,5.0,1.0,1.0,511,New buyers,7.26
